TIPO DE AVISO;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
;INIC ENPT;Año;1643343;19892728;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC;Tres años;2727177;19892728;2014-03-27 00:00:00;2014-03-27 00:00:00;2014-09-19 00:00:00
;INIC;Año;1751428;19892727;2007-09-06 00:00:00;2007-09-06 00:00:00;2007-10-03 00:00:00
;INIC ENPT;Tres años;1643353;19892727;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC;Año;1887370;19892726;2003-06-20 00:00:00;2003-06-20 00:00:00;2004-07-01 00:00:00
;INIC;Año;1751426;19892726;2007-09-06 00:00:00;2007-09-06 00:00:00;2007-10-03 00:00:00
;INIC ENPT;Año;1643352;19892726;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC ENPT;Tres años;2727172;19892726;2014-03-27 00:00:00;2014-03-27 00:00:00;2017-01-15 00:00:00
;INIC;Año;1751425;19892725;2007-09-06 00:00:00;2007-09-06 00:00:00;2007-09-30 00:00:00
;INIC;Very high;1860054;19865950;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;CPRO;Año;1679590;19865950;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-10-08 00:00:00
;INIC;Semana;1664114;19865950;2009-09-27 00:00:00;2009-09-30 00:00:00;2009-10-10 00:00:00
;INIC ENPT;Año;2727196;19865950;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-03-27 00:00:00
;INIC ENPT;Año;2727196;19865950;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-03-27 00:00:00
;INIC COND ENPT REAN;Semana;2552829;19865950;2015-03-02 00:00:00;2015-03-02 00:00:00;2015-03-27 00:00:00
;INIC;Semana;1887256;19799052;2003-06-03 00:00:00;2003-06-24 00:00:00;2003-07-12 00:00:00
;CPRO;Semestre;1887094;19893441;2003-06-27 00:00:00;2004-07-30 00:00:00;2004-08-11 00:00:00
;CPRO;Mes;1887090;19876826;2003-06-27 00:00:00;2005-01-19 00:00:00;2010-06-06 00:00:00
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-06-27 00:00:00;
VEGETACIÓN;INIC GEAM GPRE;Dos años;2403087;19892489;2018-06-27 00:00:00;2018-07-19 00:00:00;
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-06-27 00:00:00;
;INIC;Año;1643338;19883299;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-03-19 00:00:00
;INIC;Very high;1860053;19865949;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC;Semestre;1887037;19867379;2003-06-28 00:00:00;2003-06-28 00:00:00;2003-08-30 00:00:00
;INIC;Mes;1885879;19875386;2003-07-17 00:00:00;2003-07-17 00:00:00;2003-10-03 00:00:00
;INIC;Semana;1685989;19865949;2009-02-02 00:00:00;2009-02-02 00:00:00;2009-02-28 00:00:00
;CPRO;Año;1679588;19865949;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-08-13 00:00:00
;PROY;Semestre;1885499;19798803;2003-07-23 00:00:00;2003-07-23 00:00:00;2005-06-10 00:00:00
;INIC;Semana;1662764;19865949;2009-10-03 00:00:00;2009-10-10 00:00:00;2009-12-11 00:00:00
;INIC;Seis años;2727182;19865949;2014-03-27 00:00:00;2014-03-27 00:00:00;2014-09-19 00:00:00
;INIC REAN;Año;2486891;19865949;2016-06-24 00:00:00;2016-06-24 00:00:00;2017-06-03 00:00:00
;INIC ENPT;Tres años;2486889;19865949;2016-06-24 00:00:00;2016-06-24 00:00:00;2018-04-12 00:00:00
;INIC;Very high;1860052;19865948;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;CPRO;Año;1679587;19865948;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-10-08 00:00:00
;INIC;Semana;1662763;19865948;2009-10-03 00:00:00;2009-10-23 00:00:00;2009-12-11 00:00:00
;INIC ENPT;Año;1643365;19865948;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC ENPT;Seis años;2727186;19865948;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-03-27 00:00:00
;INIC;Very high;1860051;19865947;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC SCOR;Semestre;1638059;19865947;2010-04-25 00:00:00;2010-04-25 00:00:00;2010-07-30 00:00:00
;INIC REAN;Año;2486880;19865947;2016-06-24 00:00:00;2016-06-24 00:00:00;2017-10-19 00:00:00
;INIC;Very high;1860050;19865946;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC;Semestre;1885145;19868546;2003-07-23 00:00:00;2003-08-08 00:00:00;2003-09-03 00:00:00
;INIC;Año;1675908;19865946;2009-04-22 00:00:00;2009-06-18 00:00:00;2009-10-08 00:00:00
;INIC;Very high;1862734;19866197;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;INIC;Año;2557746;19866195;2015-01-04 00:00:00;2015-01-04 00:00:00;2016-05-02 00:00:00
;INIC;Very high;1862733;19866193;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;INIC ENPT;Año;1663605;19866193;2009-10-01 00:00:00;2009-10-01 00:00:00;2010-10-10 00:00:00
;INIC;Semestre;1687187;19866192;2009-01-15 00:00:00;2009-01-15 00:00:00;2009-04-10 00:00:00
;INIC;Año;2557725;19866192;2015-01-04 00:00:00;2015-01-04 00:00:00;2016-06-18 00:00:00
;INIC ENPT;Tres años;2557714;19866192;2015-01-04 00:00:00;2015-01-04 00:00:00;2018-09-07 00:00:00
;INIC;Semestre;1885021;19868548;2003-08-01 00:00:00;2003-08-01 00:00:00;2004-08-11 00:00:00
;INIC;Very high;1862732;19866191;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;INIC ENPT;Año;2557724;19866191;2015-01-04 00:00:00;2015-01-04 00:00:00;2015-08-22 00:00:00
VEGETACIÓN;INIC ENPT GEAM PRER;Dos años;2403092;19891964;2018-06-27 00:00:00;2018-07-07 00:00:00;
;INIC;Tres años;1663610;19866189;2009-10-01 00:00:00;2009-10-01 00:00:00;2010-01-20 00:00:00
;INIC;Año;2557721;19866189;2015-01-04 00:00:00;2015-01-04 00:00:00;2016-06-18 00:00:00
;INIC;Very high;1862731;19866188;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;INIC;Año;1827868;19866188;2005-01-22 00:00:00;2005-02-06 00:00:00;2007-09-01 00:00:00
;CCLI;Mes;1761551;19866188;2007-06-07 00:00:00;2007-06-07 00:00:00;2008-09-25 00:00:00
;INIC;Año;1652810;19866188;2009-12-18 00:00:00;2009-12-18 00:00:00;2010-08-12 00:00:00
;INIC EESP;Año;1648584;19866188;2009-12-29 00:00:00;2009-12-29 00:00:00;2010-08-20 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2403091;19891964;2018-06-27 00:00:00;2018-07-18 00:00:00;
;INIC ENPT;Semana;2518558;19866187;2015-09-10 00:00:00;2015-09-10 00:00:00;2015-10-27 00:00:00
;INIC;Seis años;1033925;19866187;2016-12-02 00:00:00;2016-12-02 00:00:00;2018-01-05 00:00:00
