TIPO DE AVISO;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
;INIC ENPT;Tres años;2484302;19892404;2016-07-10 00:00:00;2016-07-10 00:00:00;
;INIC ENPT;Seis años;1118408;19892404;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-12-15 00:00:00
;INIC ENPT;Año;1118407;19892404;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-12-15 00:00:00
;INIC ENPT;Año;1118406;19892404;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-12-15 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;1643965;19866018;2010-02-10 00:00:00;2010-02-10 00:00:00;
;INIC;Tres años;1638451;19892403;2010-04-21 00:00:00;2010-04-21 00:00:00;2010-06-10 00:00:00
CONSTRUCCIONES;INIC GEAM REAN;Seis años;1749630;19891631;2007-09-13 00:00:00;2007-09-13 00:00:00;
CONSTRUCCIONES;INIC GEAM REAN;Seis años;1661677;19891629;2009-10-27 00:00:00;2009-10-27 00:00:00;
;INIC ENPT;Año;2582297;19892403;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
CONSTRUCCIONES;INIC GEAM CO19;Seis años;1203798;19892729;2011-12-02 00:00:00;2011-12-02 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;1664222;19891308;2009-09-26 00:00:00;2009-09-26 00:00:00;
;INIC ENPT;Año;2582296;19892402;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
;INIC ENPT EESP;Año;1118404;19892402;2012-05-19 00:00:00;2012-05-19 00:00:00;2013-12-15 00:00:00
;INIC ENPT;Tres años;2973300;19892401;2014-01-11 00:00:00;2014-01-11 00:00:00;2016-07-06 00:00:00
;INIC ENPT;Año;2582295;19892401;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;1643637;19892702;2010-02-13 00:00:00;2010-02-13 00:00:00;
;INIC ENPT;Seis años;1118403;19892401;2012-05-19 00:00:00;2012-05-19 00:00:00;2014-01-11 00:00:00
;INIC ENPT;Tres años;2973299;19892400;2014-01-11 00:00:00;2014-01-11 00:00:00;2016-07-06 00:00:00
;INIC ENPT;Año;2582293;19892400;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
;INIC ENPT;Tres años;2484301;19892400;2016-07-10 00:00:00;2016-07-10 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;1749685;19892738;2007-09-13 00:00:00;2007-09-13 00:00:00;
;INIC ENPT;Seis años;1118401;19892400;2012-05-19 00:00:00;2012-05-19 00:00:00;2014-01-11 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2487131;19892711;2016-06-19 00:00:00;2017-12-01 00:00:00;
;INIC ENPT;Año;2582292;19892399;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
;INIC;Semana;2526146;19798796;2015-07-22 00:00:00;2015-07-22 00:00:00;2015-08-09 00:00:00
;INIC;Semana;2526144;19798793;2015-07-22 00:00:00;2015-07-22 00:00:00;2015-08-09 00:00:00
;INIC;Semana;2526143;19798768;2015-07-22 00:00:00;2015-07-22 00:00:00;2015-08-09 00:00:00
;INIC;Semana;2526141;19798765;2015-07-22 00:00:00;2015-07-22 00:00:00;2015-10-04 00:00:00
;INIC;Semana;2526139;19798762;2015-07-22 00:00:00;2015-07-22 00:00:00;2015-08-09 00:00:00
;INIC;Año;1638449;19892398;2010-04-21 00:00:00;2010-04-21 00:00:00;2010-06-10 00:00:00
;INIC;Año;1638449;19892398;2010-04-21 00:00:00;2010-04-21 00:00:00;2010-06-10 00:00:00
;INIC ENPT;Tres años;2582662;19892398;2014-05-22 00:00:00;2014-05-22 00:00:00;2014-06-05 00:00:00
;INIC ENPT;Año;2582291;19892398;2014-05-24 00:00:00;2014-05-24 00:00:00;2015-08-19 00:00:00
;INIC;Mes;2526075;19798796;2015-07-22 00:00:00;2015-07-23 00:00:00;2015-09-24 00:00:00
;INIC;Mes;2526072;19798793;2015-07-22 00:00:00;2015-07-23 00:00:00;2015-09-24 00:00:00
;INIC;Mes;2526070;19798768;2015-07-22 00:00:00;2015-07-23 00:00:00;2015-09-24 00:00:00
;INIC;Mes;2526069;19798765;2015-07-22 00:00:00;2015-07-23 00:00:00;2015-09-24 00:00:00
;INIC;Mes;2526068;19798762;2015-07-22 00:00:00;2015-07-23 00:00:00;2015-09-24 00:00:00
;INIC;Tres años;1121190;19892398;2012-05-03 00:00:00;2012-05-03 00:00:00;2012-08-17 00:00:00
;INIC;Mes;1824488;19892397;2005-04-20 00:00:00;2005-05-20 00:00:00;2005-06-01 00:00:00
;INIC ENPT;Trimestre;2526061;19893196;2015-07-23 00:00:00;2015-11-19 00:00:00;2015-12-31 00:00:00
;INIC;Año;2525996;19875314;2015-07-23 00:00:00;2015-07-23 00:00:00;2016-02-11 00:00:00
;INIC;Mes;1823441;19892397;2005-04-20 00:00:00;2005-05-20 00:00:00;2005-06-01 00:00:00
;INIC;Año;1638448;19892397;2010-04-21 00:00:00;2010-04-21 00:00:00;2010-06-10 00:00:00
;INIC;Año;1638448;19892397;2010-04-21 00:00:00;2010-04-21 00:00:00;2010-06-10 00:00:00
;INIC ENPT;Año;1637166;19892397;2010-05-06 00:00:00;2010-05-06 00:00:00;2010-10-10 00:00:00
;INIC;Mes;1633951;19892397;2010-05-27 00:00:00;2010-05-27 00:00:00;2010-08-28 00:00:00
;INIC;Tres años;2484298;19892397;2016-07-11 00:00:00;2016-07-11 00:00:00;2019-04-12 00:00:00
;COPE;Año;1743781;19873860;2007-11-09 00:00:00;2007-11-09 00:00:00;2008-02-09 00:00:00
;COPE;Año;1743780;19891818;2007-11-09 00:00:00;2007-11-09 00:00:00;2008-02-09 00:00:00
;INIC ENPT CO19;Año;2526396;19891818;2015-07-16 00:00:00;2015-07-18 00:00:00;2016-06-27 00:00:00
;INIC ENPT;Dos años;2439157;19873861;2017-09-15 00:00:00;2017-09-15 00:00:00;
;INIC ENPT;Dos años;2439155;19873861;2017-09-15 00:00:00;2017-09-15 00:00:00;
;INIC ENPT;Dos años;2439150;19873860;2017-09-15 00:00:00;2017-09-15 00:00:00;
;INIC ENPT CO19;Dos años;2525940;19875316;2015-07-24 00:00:00;2015-07-24 00:00:00;2016-10-13 00:00:00
;INIC ENPT;Dos años;2439148;19891818;2017-09-15 00:00:00;2017-09-15 00:00:00;
CONSTRUCCIONES;INIC GEAM;Tres años;2487131;19892711;2016-06-19 00:00:00;2017-12-01 00:00:00;
CONSTRUCCIONES;INIC GEAM;Tres años;2487131;19892711;2016-06-19 00:00:00;2016-06-19 00:00:00;
;INIC ENPT CO19;Año;2526377;19891809;2015-07-16 00:00:00;2015-07-18 00:00:00;2016-06-27 00:00:00
;INIC;Dos años;2526376;19891809;2015-07-16 00:00:00;2015-07-18 00:00:00;2016-06-27 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;2487131;19892711;2016-06-19 00:00:00;2017-12-01 00:00:00;
CONSTRUCCIONES;PLAN GEAM;Seis años;1624762;19889895;2010-08-06 00:00:00;2010-08-06 00:00:00;
CONSTRUCCIONES;INIC GEAM;Tres años;1754361;19866000;2007-08-04 00:00:00;2007-08-04 00:00:00;
CONSTRUCCIONES;INIC GEAM;Tres años;1754361;19866000;2007-08-04 00:00:00;2019-04-13 00:00:00;
;INIC CO19;Año;2524901;19891719;2015-07-16 00:00:00;2015-08-02 00:00:00;2016-06-27 00:00:00
;CPRO ENPT;Tres años;2986876;19891718;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-12-27 00:00:00
;CPRO ENPT;Tres años;2986876;19891718;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-12-27 00:00:00
;COPE ENPT;Año;2438799;19891718;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-05-06 00:00:00
;INIC;;1036975;19891718;2013-07-07 00:00:00;2013-07-07 00:00:00;2013-07-13 00:00:00
;INIC SCOR;;2524900;19891717;2015-07-16 00:00:00;2015-08-02 00:00:00;2015-08-13 00:00:00
;INIC;;2524824;19891717;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-12 00:00:00
;CPRO ENPT;Tres años;2986873;19891716;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-12-27 00:00:00
;INIC SCOR;;2524899;19891716;2015-07-16 00:00:00;2015-08-02 00:00:00;2015-08-13 00:00:00
;INIC ENPT;Semana;1045091;19891716;2013-06-05 00:00:00;2013-06-05 00:00:00;2013-07-13 00:00:00
;INIC;Seis años;2986861;19891715;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-05-01 00:00:00
;COPE ENPT;Dos años;2438809;19891715;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-05-06 00:00:00
;INIC ENPT;Tres años;2986859;19891714;2013-09-26 00:00:00;2013-09-26 00:00:00;2015-08-09 00:00:00
;INIC;;2524898;19891714;2015-07-16 00:00:00;2015-08-02 00:00:00;2015-08-11 00:00:00
;INIC;Dos años;2438808;19891714;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC;Año;2525660;17992628;2015-07-26 00:00:00;2015-07-26 00:00:00;2016-02-11 00:00:00
;INIC ENPT GRED;Semestre;2525646;17993805;2015-07-26 00:00:00;2015-07-26 00:00:00;2015-12-26 00:00:00
;INIC;;1036896;19891714;2013-07-07 00:00:00;2013-07-07 00:00:00;2013-07-13 00:00:00
;INIC ENPT;Tres años;2986858;19891713;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-10-05 00:00:00
;INIC;Seis años;2986856;19891713;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-05-01 00:00:00
;INIC;Año;2573781;19891713;2014-08-09 00:00:00;2014-08-09 00:00:00;2014-08-30 00:00:00
;INIC ENPT;Tres años;1330528;19891713;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;INIC;Seis años;2986854;19891712;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-05-01 00:00:00
;INIC ENPT;Tres años;2986851;19891712;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-09-17 00:00:00
;CPRO ENPT;Tres años;2986847;19891712;2013-09-26 00:00:00;2013-09-26 00:00:00;2015-01-02 00:00:00
;INIC ENPT;Tres años;1330527;19891712;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;INIC;;2524897;19891711;2015-07-16 00:00:00;2015-08-02 00:00:00;2015-08-11 00:00:00
;INIC ENPT;Tres años;2986845;19891710;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-09-17 00:00:00
;INIC ENPT;Tres años;1330526;19891710;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;CPRO ENPT;Tres años;2986230;19891808;2013-09-28 00:00:00;2013-09-28 00:00:00;2015-01-02 00:00:00
;INIC ENPT;Año;2526374;19891808;2015-07-16 00:00:00;2015-07-19 00:00:00;2016-05-19 00:00:00
;INIC;;2526373;19891808;2015-07-16 00:00:00;2015-07-19 00:00:00;2015-08-06 00:00:00
;INIC;Seis años;2569556;19891709;2014-09-05 00:00:00;2014-09-05 00:00:00;2015-08-02 00:00:00
;COPE ENPT;Dos años;2438806;19891709;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-05-06 00:00:00
;INIC;Dos años;2438754;19891708;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC ENPT;Tres años;2986844;19891707;2013-09-26 00:00:00;2013-09-26 00:00:00;2014-09-17 00:00:00
;INIC CO19;Año;2524820;19891707;2015-07-16 00:00:00;2015-08-03 00:00:00;2016-07-03 00:00:00
;INIC;Año;2486035;19891707;2016-07-03 00:00:00;2016-07-03 00:00:00;2017-07-08 00:00:00
;INIC;Dos años;2438753;19891707;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC;Semestre;1821808;19891706;2005-06-30 00:00:00;2005-06-30 00:00:00;2005-08-13 00:00:00
;INIC ENPT;Año;2986588;19891706;2013-09-27 00:00:00;2013-09-27 00:00:00;2014-10-05 00:00:00
;INIC;;2524819;19891706;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-12 00:00:00
;INIC SCOR;;2524818;19891705;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-13 00:00:00
;INIC ENPT;Mes;1042814;19891705;2013-06-13 00:00:00;2013-06-13 00:00:00;2013-07-13 00:00:00
;CPRO ENPT;Tres años;2577231;19891704;2014-07-18 00:00:00;2014-07-18 00:00:00;2015-01-02 00:00:00
;INIC;Año;2573741;19891704;2014-08-09 00:00:00;2014-08-09 00:00:00;2014-08-30 00:00:00
;INIC;Año;2524817;19891703;2015-07-16 00:00:00;2015-08-03 00:00:00;2016-05-26 00:00:00
;INIC;Semestre;1821807;19891702;2005-06-30 00:00:00;2005-06-30 00:00:00;2005-08-13 00:00:00
;INIC ENPT;Seis años;2986583;19891702;2013-09-27 00:00:00;2013-09-27 00:00:00;2014-08-02 00:00:00
;INIC SCOR;;2524816;19891702;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-13 00:00:00
;INIC;Dos años;2438751;19891702;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC ENPT;Tres años;2986549;19891701;2013-09-26 00:00:00;2013-09-27 00:00:00;2014-10-05 00:00:00
CONSTRUCCIONES;INIC GEAM;Tres años;1754361;19866000;2007-08-04 00:00:00;2019-04-13 00:00:00;
CONSTRUCCIONES;INIC GEAM;Tres años;1754361;19866000;2007-08-04 00:00:00;2019-04-13 00:00:00;
;INIC;;2524815;19891700;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-12 00:00:00
;INIC;Dos años;2438749;19891700;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC;Mes;1037095;19891700;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
;INIC ENPT;Año;2526347;19891807;2015-07-16 00:00:00;2015-07-19 00:00:00;2015-08-26 00:00:00
;INIC;Año;1823993;19891699;2005-05-05 00:00:00;2005-05-05 00:00:00;2005-08-13 00:00:00
;INIC ENPT;Año;2986547;19891699;2013-09-27 00:00:00;2013-09-27 00:00:00;2015-12-02 00:00:00
;INIC ENPT;Tres años;2986546;19891699;2013-09-27 00:00:00;2013-09-27 00:00:00;2015-07-04 00:00:00
;INIC;Año;2573766;19891699;2014-08-09 00:00:00;2014-08-09 00:00:00;2014-08-30 00:00:00
;INIC;Dos años;2438747;19891699;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC ENPT;Tres años;1330525;19891699;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;INIC;;1037080;19891699;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
;INIC ENPT;Seis años;2986543;19891698;2013-09-27 00:00:00;2013-09-27 00:00:00;2015-07-04 00:00:00
;INIC;Semestre;2525261;17993014;2015-07-31 00:00:00;2015-07-31 00:00:00;2015-12-26 00:00:00
;INIC SCOR;;2524814;19891698;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-13 00:00:00
;INIC;;2524813;19891698;2015-07-16 00:00:00;2015-08-03 00:00:00;2015-08-12 00:00:00
;INIC;Dos años;2438745;19891698;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-06-13 00:00:00
;INIC ENPT;Tres años;1330524;19891698;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;INIC;Año;2573762;19891697;2014-08-09 00:00:00;2014-08-09 00:00:00;2014-08-30 00:00:00
;INIC COND;Semestre;2525953;19891697;2015-07-24 00:00:00;2015-07-24 00:00:00;2016-12-30 00:00:00
;INIC CO19;Año;2524812;19891697;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-06-27 00:00:00
;INIC ENPT;Tres años;2986526;19891695;2013-09-26 00:00:00;2013-09-27 00:00:00;2015-08-09 00:00:00
;INIC;Año;2524799;19891695;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-05-26 00:00:00
;INIC CO19;Año;2524797;19891694;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-06-27 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;1637068;19883658;2010-05-07 00:00:00;2017-08-24 00:00:00;
;INIC ENPT;Año;2525089;17992508;2015-08-01 00:00:00;2015-08-01 00:00:00;2015-10-24 00:00:00
;INIC;Tres años;2488288;19891692;2016-06-04 00:00:00;2016-06-10 00:00:00;2016-06-26 00:00:00
;INIC ENPT;Tres años;1330523;19891691;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-09-08 00:00:00
;INIC;Mes;1773227;19891690;2007-01-07 00:00:00;2007-02-18 00:00:00;2007-04-02 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;1637068;19883658;2010-05-07 00:00:00;2017-08-24 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;1637068;19883658;2010-05-07 00:00:00;2010-05-07 00:00:00;
;INIC COND ENPT REAN;Mes;2487904;19891690;2016-06-12 00:00:00;2016-06-12 00:00:00;2016-07-02 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;1637068;19883658;2010-05-07 00:00:00;2017-08-24 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;1749642;19892075;2007-09-13 00:00:00;2007-09-13 00:00:00;
CONSTRUCCIONES;INIC GERE;Seis años;1134757;19892737;2012-02-15 00:00:00;2012-02-15 00:00:00;2018-12-28 00:00:00
CONSTRUCCIONES;INIC GERE;Trimestre;2453334;19892626;2017-06-18 00:00:00;2017-06-18 00:00:00;2017-06-28 00:00:00
;INIC ENPT;Tres años;2986220;19891806;2013-09-28 00:00:00;2013-09-28 00:00:00;2014-09-06 00:00:00
;INIC ENPT;Año;2526346;19891806;2015-07-16 00:00:00;2015-07-19 00:00:00;2015-08-26 00:00:00
CONSTRUCCIONES;INIC GERE;Trimestre;2453334;19892626;2017-06-18 00:00:00;2017-06-24 00:00:00;2017-06-28 00:00:00
CONSTRUCCIONES;INIC GERE;Trimestre;2453334;19892626;2017-06-18 00:00:00;2017-06-24 00:00:00;2017-06-28 00:00:00
CONSTRUCCIONES;INIC GERE;Trimestre;2453334;19892626;2017-06-18 00:00:00;2017-06-24 00:00:00;2017-06-28 00:00:00
;INIC;Año;2438844;19891688;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-11-04 00:00:00
;INIC;Dos años;2392169;19891688;2018-11-04 00:00:00;2018-11-04 00:00:00;
;INIC ENPT;Seis años;2986514;19891687;2013-09-27 00:00:00;2013-09-27 00:00:00;2014-08-30 00:00:00
;CPRO ENPT;Seis años;1330522;19891687;2011-08-19 00:00:00;2011-08-19 00:00:00;2013-07-13 00:00:00
;INIC;;1036894;19891686;2013-07-07 00:00:00;2013-07-07 00:00:00;2013-07-13 00:00:00
;INIC ENPT;Año;2986510;19891685;2013-09-27 00:00:00;2013-09-27 00:00:00;2014-10-05 00:00:00
;INIC;;2524796;19891684;2015-07-16 00:00:00;2015-08-04 00:00:00;2015-08-12 00:00:00
;INIC;Dos años;1093325;19891684;2012-08-30 00:00:00;2012-08-30 00:00:00;2012-09-16 00:00:00
;INIC CO19;Año;2524795;19891683;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-06-27 00:00:00
;INIC;;1037069;19891683;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
;INIC;Semana;1853124;19891682;2004-06-10 00:00:00;2004-06-24 00:00:00;2004-07-25 00:00:00
;INIC;;1037078;19891682;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
;INIC;Semana;1853123;19891681;2004-06-10 00:00:00;2004-07-09 00:00:00;2005-09-11 00:00:00
;INIC;;1037057;19891681;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
;INIC;Semestre;1818021;19891680;2005-08-23 00:00:00;2005-08-23 00:00:00;2006-02-15 00:00:00
;INIC ENPT;Año;2438743;19891680;2017-09-20 00:00:00;2017-09-20 00:00:00;2018-08-04 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;1749690;19892771;2007-09-13 00:00:00;2007-09-13 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;1749686;19892739;2007-09-13 00:00:00;2007-09-13 00:00:00;
;INIC ENPT;Año;2526342;19891805;2015-07-16 00:00:00;2015-07-19 00:00:00;2015-08-26 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;2647935;19892117;2014-04-21 00:00:00;2014-04-21 00:00:00;
CONSTRUCCIONES;INIC GEAM;Seis años;2581599;19892338;2014-05-31 00:00:00;2014-06-01 00:00:00;
;INIC CO19;Año;2524794;19891679;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-06-27 00:00:00
;INIC ENPT;Año;2574777;19891678;2014-08-01 00:00:00;2014-08-01 00:00:00;2016-01-22 00:00:00
;INIC;Año;2573801;19891678;2014-08-09 00:00:00;2014-08-09 00:00:00;2014-08-30 00:00:00
;INIC CO19;Año;2524793;19891678;2015-07-16 00:00:00;2015-08-04 00:00:00;2016-06-27 00:00:00
;INIC;;1037053;19891678;2013-07-06 00:00:00;2013-07-06 00:00:00;2013-07-13 00:00:00
CONSTRUCCIONES;INIC GEAM;Seis años;2569166;19891638;2014-09-11 00:00:00;2014-09-11 00:00:00;
;INIC;;1748333;19891676;2007-09-26 00:00:00;2007-09-26 00:00:00;2007-09-28 00:00:00
;INIC ENPT REAN;Semestre;2524792;19891676;2015-07-16 00:00:00;2015-08-04 00:00:00;2015-12-26 00:00:00
;INIC COND ENPT;Año;2524774;19799007;2015-08-05 00:00:00;2015-08-05 00:00:00;2016-08-19 00:00:00
;INIC ENPT;Mes;1452474;19863544;2011-04-22 00:00:00;2011-04-22 00:00:00;2011-05-19 00:00:00
;INIC ENPT;Año;2524727;;2015-08-05 00:00:00;2015-08-05 00:00:00;2016-03-09 00:00:00
;INIC ENPT;Año;2986505;19891674;2013-09-27 00:00:00;2013-09-27 00:00:00;2014-08-02 00:00:00
;INIC SCOR;;2973360;19891673;2014-01-11 00:00:00;2014-01-11 00:00:00;2014-05-01 00:00:00
;INIC ENPT;Tres años;1330521;19891673;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;INIC ENPT;Tres años;1330521;19891673;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;INIC ENPT;Año;2986013;19891672;2013-09-29 00:00:00;2013-09-29 00:00:00;2014-08-02 00:00:00
;INIC ENPT;Año;2986011;19891672;2013-09-29 00:00:00;2013-09-29 00:00:00;2014-11-22 00:00:00
;INIC ENPT;Tres años;2438339;19891672;2017-09-27 00:00:00;2017-09-27 00:00:00;
;INIC ENPT;Tres años;1330520;19891672;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;CPRO ENPT;Tres años;2986008;19891671;2013-09-29 00:00:00;2013-09-29 00:00:00;2014-12-27 00:00:00
;COPL ENPT;Tres años;2524653;17995149;2015-08-06 00:00:00;2015-08-06 00:00:00;2017-05-21 00:00:00
;INIC;Año;2524590;19885297;2014-07-11 00:00:00;2015-08-06 00:00:00;2015-09-17 00:00:00
;INIC ENPT;Semestre;1452457;;2011-04-23 00:00:00;2011-04-23 00:00:00;2012-03-09 00:00:00
;INIC;Semestre;2523962;;2015-08-08 00:00:00;2015-08-08 00:00:00;2015-09-03 00:00:00
;INIC ENPT CO19;Dos años;2523956;19863072;2015-08-08 00:00:00;2015-08-08 00:00:00;2017-02-22 00:00:00
;INIC;Semana;2523755;;2015-08-09 00:00:00;2015-08-09 00:00:00;2015-08-09 00:00:00
;INIC;Año;2523221;19862261;2015-03-21 00:00:00;2015-08-13 00:00:00;2015-12-28 00:00:00
;INIC ENPT CO19;Dos años;2523216;19863077;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-05 00:00:00
;INIC ENPT CO19;Dos años;2523214;19863076;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-06 00:00:00
;INIC ENPT CO19;Año;2523212;19862587;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-07 00:00:00
;INIC ENPT CO19;Año;2523212;19862587;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-07 00:00:00
;INIC ENPT CO19;Año;2523210;19862584;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-07 00:00:00
;INIC ENPT CO19;Año;2523210;19862584;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-07 00:00:00
;INIC ENPT;Año;2523208;19862557;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-06 00:00:00
;INIC ENPT;Año;2523208;19862557;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-08-06 00:00:00
;INIC ENPT;Año;2523205;19862467;2015-03-21 00:00:00;2015-08-13 00:00:00;2016-02-20 00:00:00
;CTER ENPT;Año;2522538;19866478;2015-08-16 00:00:00;2016-03-25 00:00:00;2016-03-25 00:00:00
;INIC;Mes;2522464;19873667;2015-08-16 00:00:00;2015-08-16 00:00:00;2015-12-29 00:00:00
;INIC ENPT;Año;2521635;19869392;2015-08-21 00:00:00;2015-08-28 00:00:00;2015-09-16 00:00:00
;INIC ENPT CO19;Tres años;2521509;19798805;2015-08-22 00:00:00;2015-08-22 00:00:00;2016-10-08 00:00:00
;INIC ENPT CO19;Tres años;2521509;19798805;2015-08-22 00:00:00;2015-10-02 00:00:00;2016-10-08 00:00:00
;INIC ENPT CO19;Tres años;2521509;19798805;2015-08-22 00:00:00;2015-10-21 00:00:00;2016-10-08 00:00:00
;INIC;Año;2521495;;2015-08-22 00:00:00;2015-08-22 00:00:00;2015-12-28 00:00:00
;INIC ENPT;Año;2521354;19869446;2015-08-23 00:00:00;2015-11-29 00:00:00;2015-11-29 00:00:00
;CPRO ENPT CO19;Dos años;2521320;17993803;2015-08-23 00:00:00;2015-08-23 00:00:00;2016-12-09 00:00:00
;INIC ENPT;Tres años;1330519;19891671;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;INIC ENPT;Seis años;2521180;17993581;2015-08-25 00:00:00;2018-12-29 00:00:00;2018-12-29 00:00:00
;INIC;Semana;2521171;19873664;2015-08-26 00:00:00;2015-08-26 00:00:00;2015-09-15 00:00:00
;INIC ENPT;Tres años;2520911;19885485;2015-08-27 00:00:00;2015-08-27 00:00:00;2015-12-18 00:00:00
;INIC ENPT;Dos años;2520844;19861727;2015-08-27 00:00:00;2015-08-27 00:00:00;2016-11-10 00:00:00
;INIC ENPT;Dos años;2520842;19861726;2015-08-27 00:00:00;2015-08-27 00:00:00;2016-11-10 00:00:00
;INIC ENPT;Dos años;2520841;19861725;2015-08-27 00:00:00;2015-08-27 00:00:00;2016-11-10 00:00:00
;INIC ENPT;Año;2520810;;2015-08-28 00:00:00;2015-08-28 00:00:00;2016-02-10 00:00:00
;INIC ENPT;Tres años;1330519;19891671;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;INIC ENPT;Tres años;1330519;19891671;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;CPRO;Año;1330518;19891671;2011-08-19 00:00:00;2011-08-19 00:00:00;2012-08-16 00:00:00
;INIC;Tres años;1330516;19891670;2011-08-19 00:00:00;2011-08-19 00:00:00;2011-09-16 00:00:00
;INIC ENPT;Tres años;2986218;19891804;2013-09-28 00:00:00;2013-09-28 00:00:00;2014-09-06 00:00:00
;INIC ENPT CO19;Año;2526340;19891804;2015-07-16 00:00:00;2015-07-19 00:00:00;2016-06-27 00:00:00
